Created by PLY version 3.7 (http://www.dabeaz.com/ply)

Unused terminals:

    UMINUS
    MULTILINECOMMENT
    LINECOMMENT

Grammar

Rule 0     S' -> Program
Rule 71    Expr -> ExprLength
Rule 72    Expr -> ExprBinaryExpr
Rule 73    Expr -> UnaryExpr
Rule 74    Expr -> Literal
Rule 75    Expr -> Number
Rule 76    Expr -> ParentExprParent
Rule 77    NewId -> NEW IDEN LEFTPARENT RIGHTPARENT
Rule 78    NewTypeExpr -> NEW Type LEFTSQRBRACKET Expr LEFTSQRBRACKET
Rule 79    ExprLength -> Expr DOT LENGTH
Rule 80    ExprBinaryExpr -> Expr ADDITION Expr
Rule 81    ExprBinaryExpr -> Expr SUBSTRACTION Expr
Rule 82    ExprBinaryExpr -> Expr MULTIPLICATION Expr
Rule 83    ExprBinaryExpr -> Expr DIVISION Expr
Rule 84    ExprBinaryExpr -> Expr MODULO Expr
Rule 85    ExprBinaryExpr -> Expr AND Expr
Rule 86    ExprBinaryExpr -> Expr OR Expr
Rule 87    ExprBinaryExpr -> Expr CONCAT Expr
Rule 88    ExprBinaryExpr -> Expr LESS Expr
Rule 89    ExprBinaryExpr -> Expr LESSEQUAL Expr
Rule 90    ExprBinaryExpr -> Expr GREATER Expr
Rule 91    ExprBinaryExpr -> Expr GREATEREQUAL Expr
Rule 92    ExprBinaryExpr -> Expr EQUAL Expr
Rule 93    ExprBinaryExpr -> Expr NOTEQUAL Expr
Rule 94    UnaryExpr -> UnaryMinus
Rule 95    UnaryExpr -> NOT
Rule 96    UnaryMinus -> SUBSTRACTION Expr
Rule 97    Literal -> INT
Rule 98    Literal -> STRING
Rule 99    Literal -> TRUE
Rule 100   Literal -> FALSE
Rule 101   Literal -> NULL
Rule 102   ParentExprParent -> LEFTPARENT Expr RIGHTPARENT
Rule 103   Number -> CIENTIFIC
Rule 104   Number -> HEXADEC
Rule 105   Number -> NUMBER
Rule 106   Number -> BINARY
Rule 107   Number -> FLOAT
Rule 108   empty -> <empty>

Terminals, with rules where they appear

ADDITION             : 80
AND                  : 85
ASSIGNMENT           : 38 48
BINARY               : 106
BOOLEAN              : 25
BREAK                : 45
CIENTIFIC            : 103
CLASS                : 4
COMMA                : 14 23 37 58
CONCAT               : 87
CONTINUE             : 46
DIVISION             : 83
DOT                  : 50 54 79
ELSE                 : 63
EQUAL                : 92
EXTENDS              : 5
FALSE                : 100
FLOAT                : 107
GREATER              : 90
GREATEREQUAL         : 91
HEXADEC              : 104
IDEN                 : 4 5 11 14 15 20 23 27 33 37 49 50 53 54 77
IF                   : 62
INT                  : 24 97
LEFTBRACE            : 4 30
LEFTPARENT           : 15 52 62 65 77 102
LEFTSQRBRACKET       : 29 51 78 78
LENGTH               : 79
LESS                 : 88
LESSEQUAL            : 89
LINECOMMENT          : 
MODULO               : 84
MULTILINECOMMENT     : 
MULTIPLICATION       : 82
NEW                  : 77 78
NOT                  : 95
NOTEQUAL             : 93
NULL                 : 101
NUMBER               : 105
OR                   : 86
RETURN               : 59
RIGHTBRACE           : 4 30
RIGHTPARENT          : 15 52 62 65 77 102
RIGHTSQRBRACKET      : 29 51
SEMICOLON            : 11 33 40 41 45 46 59
STRING               : 26 98
SUBSTRACTION         : 81 96
THIS                 : 68
TRUE                 : 99
UMINUS               : 
VOID                 : 17
WHILE                : 65
error                : 

Nonterminals, with rules where they appear

Actuals              : 52
Args                 : 15
Array                : 28
Assign               : 40
Block                : 15 47
Call                 : 41 67
ClassDecl            : 2
ClassDeclList        : 1 2
CommaExpDecl         : 35
CommaTypeId          : 21
ElseStmt             : 62
ExpDecl              : 33 37
ExpDeclList          : 33 35
Expr                 : 38 48 50 51 51 54 55 58 60 62 65 78 79 80 80 81 81 82 82 83 83 84 84 85 85 86 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93 96 102
ExprBinaryExpr       : 72
ExprComma            : 56
ExprCommaList        : 55 56
ExprLength           : 71
ExtendClass          : 4
FieldDecl            : 9
FieldMeth            : 7
FieldMethDecl        : 4 7
Formals              : 18
IdenComma            : 12
IdenCommaList        : 11 12
IdenTypeCommaList    : 20 21
IfStmt               : 43
Literal              : 74
Location             : 48 66
MethDecl             : 10
MethType             : 15
Method               : 52
NewId                : 69
NewTypeExpr          : 70
Number               : 75
ParentExprParent     : 76
Program              : 0
Return               : 42
ReturnExpr           : 59
Stmt                 : 31 62 63 65
StmtList             : 30 31
Type                 : 11 16 20 23 29 33 78
UnaryExpr            : 73
UnaryMinus           : 94
VarDeclList          : 30 33
WhileStmt            : 44
empty                : 3 6 8 13 19 22 32 34 36 39 57 61 64

Parsing method: SLR

state 0

    (0) S' -> . Program
    (1) Program -> . ClassDeclList
    (2) ClassDeclList -> . ClassDecl ClassDeclList
    (3) ClassDeclList -> . empty
    (4) ClassDecl -> . CLASS IDEN ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE
    (108) empty -> .

    CLASS           shift and go to state 4
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

    ClassDecl                      shift and go to state 1
    Program                        shift and go to state 2
    ClassDeclList                  shift and go to state 3
    empty                          shift and go to state 5

state 1

    (2) ClassDeclList -> ClassDecl . ClassDeclList
    (2) ClassDeclList -> . ClassDecl ClassDeclList
    (3) ClassDeclList -> . empty
    (4) ClassDecl -> . CLASS IDEN ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE
    (108) empty -> .

    CLASS           shift and go to state 4
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

    ClassDeclList                  shift and go to state 6
    ClassDecl                      shift and go to state 1
    empty                          shift and go to state 5

state 2

    (0) S' -> Program .



state 3

    (1) Program -> ClassDeclList .

    $end            reduce using rule 1 (Program -> ClassDeclList .)


state 4

    (4) ClassDecl -> CLASS . IDEN ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE

    IDEN            shift and go to state 7


state 5

    (3) ClassDeclList -> empty .

    $end            reduce using rule 3 (ClassDeclList -> empty .)


state 6

    (2) ClassDeclList -> ClassDecl ClassDeclList .

    $end            reduce using rule 2 (ClassDeclList -> ClassDecl ClassDeclList .)


state 7

    (4) ClassDecl -> CLASS IDEN . ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE
    (5) ExtendClass -> . EXTENDS IDEN
    (6) ExtendClass -> . empty
    (108) empty -> .

    EXTENDS         shift and go to state 9
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

    ExtendClass                    shift and go to state 8
    empty                          shift and go to state 10

state 8

    (4) ClassDecl -> CLASS IDEN ExtendClass . LEFTBRACE FieldMethDecl RIGHTBRACE

    LEFTBRACE       shift and go to state 11


state 9

    (5) ExtendClass -> EXTENDS . IDEN

    IDEN            shift and go to state 12


state 10

    (6) ExtendClass -> empty .

    LEFTBRACE       reduce using rule 6 (ExtendClass -> empty .)


state 11

    (4) ClassDecl -> CLASS IDEN ExtendClass LEFTBRACE . FieldMethDecl RIGHTBRACE
    (7) FieldMethDecl -> . FieldMeth FieldMethDecl
    (8) FieldMethDecl -> . empty
    (9) FieldMeth -> . FieldDecl
    (10) FieldMeth -> . MethDecl
    (108) empty -> .
    (11) FieldDecl -> . Type IDEN IdenCommaList SEMICOLON
    (15) MethDecl -> . MethType IDEN LEFTPARENT Args RIGHTPARENT Block
    (24) Type -> . INT
    (25) Type -> . BOOLEAN
    (26) Type -> . STRING
    (27) Type -> . IDEN
    (28) Type -> . Array
    (16) MethType -> . Type
    (17) MethType -> . VOID
    (29) Array -> . Type LEFTSQRBRACKET RIGHTSQRBRACKET

  ! shift/reduce conflict for INT resolved as shift
  ! shift/reduce conflict for STRING resolved as shift
  ! shift/reduce conflict for IDEN resolved as shift
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)
    INT             shift and go to state 22
    BOOLEAN         shift and go to state 24
    STRING          shift and go to state 20
    IDEN            shift and go to state 13
    VOID            shift and go to state 21

  ! IDEN            [ reduce using rule 108 (empty -> .) ]
  ! INT             [ reduce using rule 108 (empty -> .) ]
  ! STRING          [ reduce using rule 108 (empty -> .) ]

    FieldMeth                      shift and go to state 16
    FieldMethDecl                  shift and go to state 17
    FieldDecl                      shift and go to state 23
    empty                          shift and go to state 19
    MethType                       shift and go to state 14
    Array                          shift and go to state 25
    Type                           shift and go to state 15
    MethDecl                       shift and go to state 18

state 12

    (5) ExtendClass -> EXTENDS IDEN .

    LEFTBRACE       reduce using rule 5 (ExtendClass -> EXTENDS IDEN .)


state 13

    (27) Type -> IDEN .

    IDEN            reduce using rule 27 (Type -> IDEN .)
    LEFTSQRBRACKET  reduce using rule 27 (Type -> IDEN .)


state 14

    (15) MethDecl -> MethType . IDEN LEFTPARENT Args RIGHTPARENT Block

    IDEN            shift and go to state 26


state 15

    (11) FieldDecl -> Type . IDEN IdenCommaList SEMICOLON
    (16) MethType -> Type .
    (29) Array -> Type . LEFTSQRBRACKET RIGHTSQRBRACKET

  ! shift/reduce conflict for IDEN resolved as shift
    IDEN            shift and go to state 27
    LEFTSQRBRACKET  shift and go to state 28

  ! IDEN            [ reduce using rule 16 (MethType -> Type .) ]


state 16

    (7) FieldMethDecl -> FieldMeth . FieldMethDecl
    (7) FieldMethDecl -> . FieldMeth FieldMethDecl
    (8) FieldMethDecl -> . empty
    (9) FieldMeth -> . FieldDecl
    (10) FieldMeth -> . MethDecl
    (108) empty -> .
    (11) FieldDecl -> . Type IDEN IdenCommaList SEMICOLON
    (15) MethDecl -> . MethType IDEN LEFTPARENT Args RIGHTPARENT Block
    (24) Type -> . INT
    (25) Type -> . BOOLEAN
    (26) Type -> . STRING
    (27) Type -> . IDEN
    (28) Type -> . Array
    (16) MethType -> . Type
    (17) MethType -> . VOID
    (29) Array -> . Type LEFTSQRBRACKET RIGHTSQRBRACKET

  ! shift/reduce conflict for INT resolved as shift
  ! shift/reduce conflict for STRING resolved as shift
  ! shift/reduce conflict for IDEN resolved as shift
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)
    INT             shift and go to state 22
    BOOLEAN         shift and go to state 24
    STRING          shift and go to state 20
    IDEN            shift and go to state 13
    VOID            shift and go to state 21

  ! IDEN            [ reduce using rule 108 (empty -> .) ]
  ! INT             [ reduce using rule 108 (empty -> .) ]
  ! STRING          [ reduce using rule 108 (empty -> .) ]

    FieldMeth                      shift and go to state 16
    FieldMethDecl                  shift and go to state 29
    FieldDecl                      shift and go to state 23
    empty                          shift and go to state 19
    MethType                       shift and go to state 14
    Array                          shift and go to state 25
    Type                           shift and go to state 15
    MethDecl                       shift and go to state 18

state 17

    (4) ClassDecl -> CLASS IDEN ExtendClass LEFTBRACE FieldMethDecl . RIGHTBRACE

    RIGHTBRACE      shift and go to state 30


state 18

    (10) FieldMeth -> MethDecl .

    INT             reduce using rule 10 (FieldMeth -> MethDecl .)
    BOOLEAN         reduce using rule 10 (FieldMeth -> MethDecl .)
    STRING          reduce using rule 10 (FieldMeth -> MethDecl .)
    IDEN            reduce using rule 10 (FieldMeth -> MethDecl .)
    VOID            reduce using rule 10 (FieldMeth -> MethDecl .)
    RIGHTBRACE      reduce using rule 10 (FieldMeth -> MethDecl .)


state 19

    (8) FieldMethDecl -> empty .

    RIGHTBRACE      reduce using rule 8 (FieldMethDecl -> empty .)


state 20

    (26) Type -> STRING .

    IDEN            reduce using rule 26 (Type -> STRING .)
    LEFTSQRBRACKET  reduce using rule 26 (Type -> STRING .)


state 21

    (17) MethType -> VOID .

    IDEN            reduce using rule 17 (MethType -> VOID .)


state 22

    (24) Type -> INT .

    IDEN            reduce using rule 24 (Type -> INT .)
    LEFTSQRBRACKET  reduce using rule 24 (Type -> INT .)


state 23

    (9) FieldMeth -> FieldDecl .

    INT             reduce using rule 9 (FieldMeth -> FieldDecl .)
    BOOLEAN         reduce using rule 9 (FieldMeth -> FieldDecl .)
    STRING          reduce using rule 9 (FieldMeth -> FieldDecl .)
    IDEN            reduce using rule 9 (FieldMeth -> FieldDecl .)
    VOID            reduce using rule 9 (FieldMeth -> FieldDecl .)
    RIGHTBRACE      reduce using rule 9 (FieldMeth -> FieldDecl .)


state 24

    (25) Type -> BOOLEAN .

    IDEN            reduce using rule 25 (Type -> BOOLEAN .)
    LEFTSQRBRACKET  reduce using rule 25 (Type -> BOOLEAN .)


state 25

    (28) Type -> Array .

    IDEN            reduce using rule 28 (Type -> Array .)
    LEFTSQRBRACKET  reduce using rule 28 (Type -> Array .)


state 26

    (15) MethDecl -> MethType IDEN . LEFTPARENT Args RIGHTPARENT Block

    LEFTPARENT      shift and go to state 31


state 27

    (11) FieldDecl -> Type IDEN . IdenCommaList SEMICOLON
    (12) IdenCommaList -> . IdenComma IdenCommaList
    (13) IdenCommaList -> . empty
    (14) IdenComma -> . COMMA IDEN
    (108) empty -> .

  ! shift/reduce conflict for COMMA resolved as shift
    COMMA           shift and go to state 33
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

  ! COMMA           [ reduce using rule 108 (empty -> .) ]

    IdenCommaList                  shift and go to state 32
    IdenComma                      shift and go to state 34
    empty                          shift and go to state 35

state 28

    (29) Array -> Type LEFTSQRBRACKET . RIGHTSQRBRACKET

    RIGHTSQRBRACKET shift and go to state 36


state 29

    (7) FieldMethDecl -> FieldMeth FieldMethDecl .

    RIGHTBRACE      reduce using rule 7 (FieldMethDecl -> FieldMeth FieldMethDecl .)


state 30

    (4) ClassDecl -> CLASS IDEN ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE .

    CLASS           reduce using rule 4 (ClassDecl -> CLASS IDEN ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE .)
    $end            reduce using rule 4 (ClassDecl -> CLASS IDEN ExtendClass LEFTBRACE FieldMethDecl RIGHTBRACE .)


state 31

    (15) MethDecl -> MethType IDEN LEFTPARENT . Args RIGHTPARENT Block
    (18) Args -> . Formals
    (19) Args -> . empty
    (20) Formals -> . Type IDEN IdenTypeCommaList
    (108) empty -> .
    (24) Type -> . INT
    (25) Type -> . BOOLEAN
    (26) Type -> . STRING
    (27) Type -> . IDEN
    (28) Type -> . Array
    (29) Array -> . Type LEFTSQRBRACKET RIGHTSQRBRACKET

  ! shift/reduce conflict for INT resolved as shift
  ! shift/reduce conflict for STRING resolved as shift
  ! shift/reduce conflict for IDEN resolved as shift
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)
    INT             shift and go to state 22
    BOOLEAN         shift and go to state 24
    STRING          shift and go to state 20
    IDEN            shift and go to state 13

  ! IDEN            [ reduce using rule 108 (empty -> .) ]
  ! INT             [ reduce using rule 108 (empty -> .) ]
  ! STRING          [ reduce using rule 108 (empty -> .) ]

    Args                           shift and go to state 37
    Array                          shift and go to state 25
    Type                           shift and go to state 39
    empty                          shift and go to state 38
    Formals                        shift and go to state 40

state 32

    (11) FieldDecl -> Type IDEN IdenCommaList . SEMICOLON

    SEMICOLON       shift and go to state 41


state 33

    (14) IdenComma -> COMMA . IDEN

    IDEN            shift and go to state 42


state 34

    (12) IdenCommaList -> IdenComma . IdenCommaList
    (12) IdenCommaList -> . IdenComma IdenCommaList
    (13) IdenCommaList -> . empty
    (14) IdenComma -> . COMMA IDEN
    (108) empty -> .

  ! shift/reduce conflict for COMMA resolved as shift
    COMMA           shift and go to state 33
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
